true_parser_kernel_class,member_count,languages,constructs,implementation_classes
TPK_f6c041bcd05fa6eb,1,zig,FunctionDeclaration,IMPL_4ac002efe842
TPK_f6c5e33c099451bc,1,csharp,AggregateCollection,IMPL_6521a7e37bbf
TPK_f7e0194d71de6c7c,1,csharp,ClosureLambda,IMPL_2fd52411c6e6
TPK_f80aeedd5ed78b7d,1,go,OperatorExpression,IMPL_daa19205d047
TPK_f826f05cff82502c,1,zig,Call,IMPL_62fd00586e3f
TPK_f90521bb832cc064,1,nim,Call,IMPL_62fd00586e3f
TPK_f974d05dd6fffcd1,1,zig,Return,IMPL_603c55c6f56b
TPK_fa04a197747c8ebf,1,java,GenericInstantiation,IMPL_03a45ea5ef87
TPK_faec7bba596f0298,1,rust,PointerReference,IMPL_f114c6eb76b3
TPK_fb4d8f946888fca6,1,c,Try,IMPL_2b9a5e8f7f5e
TPK_fbf640231766a936,1,csharp,GotoLabel,IMPL_7f9510a57b52
TPK_fc18e2449526874d,1,nim,PatternDestructuring,IMPL_a0c603fee064
TPK_fc4f13f5664f9af5,1,nim,PointerReference,IMPL_f114c6eb76b3
TPK_fcaea52f1ad91555,1,zig,Async,IMPL_b9142cbf127d
TPK_fcb66ade80d979e7,1,python,ModuleNamespace,IMPL_b43af1291396
TPK_fd421ccb18aa8026,1,cpp,Class,IMPL_9e4e11710d3d
TPK_feb82c3efd40f241,1,kotlin,PatternDestructuring,IMPL_a0c603fee064
TPK_ff2da41dd037c9ae,1,java,SynchronizationAtomic,IMPL_9d0848e825fb
TPK_ff98e2f0e5ffe73e,1,c,CatchExcept,IMPL_2b9a5e8f7f5e
