language,construct_id,construct,required,implementation_class,implementation_role_vector,uast_structures,uasf_seed,semantic_axes,uast_relations,uast_fields,uast_layers,true_parser_kernel_class,parse_state_count,lex_state_count,external_lex_state_count,parser_kernel_resolved,CURRENT_FRONTEND_CAPABILITY,MISSING
java,C014,Literal,1,IMPL_980f8398de6d,00000000001000000000010000000000,LiteralExpr;NilLiteral,UASF_0224;UASF_0236,data.flow;evaluation.order;nodes.expression;operations;types.structure,data.def_use;data.operand;data.result;evaluation.before;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;type_ref;type_shape;value,data.flow;evaluation;structure.expression;type.value,TPK_7d66cb080adac82a,5,0,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
kotlin,C014,Literal,1,IMPL_980f8398de6d,00000000001000000000010000000000,LiteralExpr;NilLiteral,UASF_0224;UASF_0236,data.flow;evaluation.order;nodes.expression;operations;types.structure,data.def_use;data.operand;data.result;evaluation.before;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;type_ref;type_shape;value,data.flow;evaluation;structure.expression;type.value,TPK_9f1335d287e83370,17,0,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
swift,C014,Literal,1,IMPL_980f8398de6d,00000000001000000000010000000000,LiteralExpr;NilLiteral,UASF_0224;UASF_0236,data.flow;evaluation.order;nodes.expression;operations;types.structure,data.def_use;data.operand;data.result;evaluation.before;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;type_ref;type_shape;value,data.flow;evaluation;structure.expression;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
r,C015,Tuple,1,IMPL_00b2b59dbd2a,00000000000100000000010000000000,TupleExpr;TupleType;TupleResult,UASF_0076;UASF_0208;UASF_0224,binding.graph;conversion.semantics;data.flow;evaluation.order;nodes.expression;operations;types.origin;types.structure,binding.declares;binding.refers;binding.shadows;conversion.converts;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;binding_refs;conversion;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;type_origin;type_ref;type_shape;value,binding.scope;data.flow;evaluation;structure.expression;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
go,C015,Tuple,1,IMPL_00b2b59dbd2a,00000000000100000000010000000000,TupleExpr;TupleType;TupleResult,UASF_0076;UASF_0208;UASF_0224,binding.graph;conversion.semantics;data.flow;evaluation.order;nodes.expression;operations;types.origin;types.structure,binding.declares;binding.refers;binding.shadows;conversion.converts;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;binding_refs;conversion;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;type_origin;type_ref;type_shape;value,binding.scope;data.flow;evaluation;structure.expression;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
rust,C015,Tuple,1,IMPL_00b2b59dbd2a,00000000000100000000010000000000,TupleExpr;TupleType;TupleResult,UASF_0076;UASF_0208;UASF_0224,binding.graph;conversion.semantics;data.flow;evaluation.order;nodes.expression;operations;types.origin;types.structure,binding.declares;binding.refers;binding.shadows;conversion.converts;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;binding_refs;conversion;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;type_origin;type_ref;type_shape;value,binding.scope;data.flow;evaluation;structure.expression;type.value,TPK_8b4e56f2b3563688,617,10,1,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
cpp,C015,Tuple,1,IMPL_00b2b59dbd2a,00000000000100000000010000000000,TupleExpr;TupleType;TupleResult,UASF_0076;UASF_0208;UASF_0224,binding.graph;conversion.semantics;data.flow;evaluation.order;nodes.expression;operations;types.origin;types.structure,binding.declares;binding.refers;binding.shadows;conversion.converts;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;binding_refs;conversion;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;type_origin;type_ref;type_shape;value,binding.scope;data.flow;evaluation;structure.expression;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
c,C015,Tuple,?,IMPL_00b2b59dbd2a,00000000000100000000010000000000,TupleExpr;TupleType;TupleResult,UASF_0076;UASF_0208;UASF_0224,binding.graph;conversion.semantics;data.flow;evaluation.order;nodes.expression;operations;types.origin;types.structure,binding.declares;binding.refers;binding.shadows;conversion.converts;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;binding_refs;conversion;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;type_origin;type_ref;type_shape;value,binding.scope;data.flow;evaluation;structure.expression;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
python,C015,Tuple,1,IMPL_00b2b59dbd2a,00000000000100000000010000000000,TupleExpr;TupleType;TupleResult,UASF_0076;UASF_0208;UASF_0224,binding.graph;conversion.semantics;data.flow;evaluation.order;nodes.expression;operations;types.origin;types.structure,binding.declares;binding.refers;binding.shadows;conversion.converts;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;binding_refs;conversion;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;type_origin;type_ref;type_shape;value,binding.scope;data.flow;evaluation;structure.expression;type.value,TPK_9604529ce8dee3cf,811,7,9,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
zig,C015,Tuple,?,IMPL_00b2b59dbd2a,00000000000100000000010000000000,TupleExpr;TupleType;TupleResult,UASF_0076;UASF_0208;UASF_0224,binding.graph;conversion.semantics;data.flow;evaluation.order;nodes.expression;operations;types.origin;types.structure,binding.declares;binding.refers;binding.shadows;conversion.converts;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;binding_refs;conversion;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;type_origin;type_ref;type_shape;value,binding.scope;data.flow;evaluation;structure.expression;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
julia,C015,Tuple,1,IMPL_00b2b59dbd2a,00000000000100000000010000000000,TupleExpr;TupleType;TupleResult,UASF_0076;UASF_0208;UASF_0224,binding.graph;conversion.semantics;data.flow;evaluation.order;nodes.expression;operations;types.origin;types.structure,binding.declares;binding.refers;binding.shadows;conversion.converts;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;binding_refs;conversion;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;type_origin;type_ref;type_shape;value,binding.scope;data.flow;evaluation;structure.expression;type.value,TPK_19560f7545e486fb,2238,12,3,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
nim,C015,Tuple,1,IMPL_00b2b59dbd2a,00000000000100000000010000000000,TupleExpr;TupleType;TupleResult,UASF_0076;UASF_0208;UASF_0224,binding.graph;conversion.semantics;data.flow;evaluation.order;nodes.expression;operations;types.origin;types.structure,binding.declares;binding.refers;binding.shadows;conversion.converts;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;binding_refs;conversion;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;type_origin;type_ref;type_shape;value,binding.scope;data.flow;evaluation;structure.expression;type.value,TPK_c644576165973254,3737,0,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
csharp,C015,Tuple,1,IMPL_00b2b59dbd2a,00000000000100000000010000000000,TupleExpr;TupleType;TupleResult,UASF_0076;UASF_0208;UASF_0224,binding.graph;conversion.semantics;data.flow;evaluation.order;nodes.expression;operations;types.origin;types.structure,binding.declares;binding.refers;binding.shadows;conversion.converts;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;binding_refs;conversion;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;type_origin;type_ref;type_shape;value,binding.scope;data.flow;evaluation;structure.expression;type.value,TPK_c3af565c89c21ae1,2340,5,4,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
java,C015,Tuple,1,IMPL_00b2b59dbd2a,00000000000100000000010000000000,TupleExpr;TupleType;TupleResult,UASF_0076;UASF_0208;UASF_0224,binding.graph;conversion.semantics;data.flow;evaluation.order;nodes.expression;operations;types.origin;types.structure,binding.declares;binding.refers;binding.shadows;conversion.converts;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;binding_refs;conversion;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;type_origin;type_ref;type_shape;value,binding.scope;data.flow;evaluation;structure.expression;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
kotlin,C015,Tuple,1,IMPL_00b2b59dbd2a,00000000000100000000010000000000,TupleExpr;TupleType;TupleResult,UASF_0076;UASF_0208;UASF_0224,binding.graph;conversion.semantics;data.flow;evaluation.order;nodes.expression;operations;types.origin;types.structure,binding.declares;binding.refers;binding.shadows;conversion.converts;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;binding_refs;conversion;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;type_origin;type_ref;type_shape;value,binding.scope;data.flow;evaluation;structure.expression;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
swift,C015,Tuple,1,IMPL_00b2b59dbd2a,00000000000100000000010000000000,TupleExpr;TupleType;TupleResult,UASF_0076;UASF_0208;UASF_0224,binding.graph;conversion.semantics;data.flow;evaluation.order;nodes.expression;operations;types.origin;types.structure,binding.declares;binding.refers;binding.shadows;conversion.converts;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind;type.constraint;type.convert;type.has;type.origin;type.parameter,attributes;binding_refs;conversion;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;type_origin;type_ref;type_shape;value,binding.scope;data.flow;evaluation;structure.expression;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
r,C016,AggregateCollection,1,IMPL_6521a7e37bbf,00000000000100000000010000000000,AggregateExpr,UASF_0224;UASF_0225,data.flow;evaluation.order;nodes.expression;operations,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;value,data.flow;evaluation;structure.expression,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
go,C016,AggregateCollection,1,IMPL_6521a7e37bbf,00000000000100000000010000000000,AggregateExpr,UASF_0224;UASF_0225,data.flow;evaluation.order;nodes.expression;operations,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;value,data.flow;evaluation;structure.expression,TPK_0cc8ff394ce2b4eb,238,9,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
rust,C016,AggregateCollection,1,IMPL_6521a7e37bbf,00000000000100000000010000000000,AggregateExpr,UASF_0224;UASF_0225,data.flow;evaluation.order;nodes.expression;operations,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;value,data.flow;evaluation;structure.expression,TPK_c59fd933a12f0fab,200,7,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
cpp,C016,AggregateCollection,1,IMPL_6521a7e37bbf,00000000000100000000010000000000,AggregateExpr,UASF_0224;UASF_0225,data.flow;evaluation.order;nodes.expression;operations,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;value,data.flow;evaluation;structure.expression,TPK_d983ff959d1e7a44,2985,57,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
c,C016,AggregateCollection,1,IMPL_6521a7e37bbf,00000000000100000000010000000000,AggregateExpr,UASF_0224;UASF_0225,data.flow;evaluation.order;nodes.expression;operations,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;value,data.flow;evaluation;structure.expression,TPK_885e63a51ae66154,339,12,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
python,C016,AggregateCollection,1,IMPL_6521a7e37bbf,00000000000100000000010000000000,AggregateExpr,UASF_0224;UASF_0225,data.flow;evaluation.order;nodes.expression;operations,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;value,data.flow;evaluation;structure.expression,TPK_1bb3526d30a503a9,850,8,12,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
zig,C016,AggregateCollection,1,IMPL_6521a7e37bbf,00000000000100000000010000000000,AggregateExpr,UASF_0224;UASF_0225,data.flow;evaluation.order;nodes.expression;operations,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;value,data.flow;evaluation;structure.expression,TPK_ea22f145a230da28,13,2,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
julia,C016,AggregateCollection,1,IMPL_6521a7e37bbf,00000000000100000000010000000000,AggregateExpr,UASF_0224;UASF_0225,data.flow;evaluation.order;nodes.expression;operations,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;value,data.flow;evaluation;structure.expression,TPK_2fbbb74173b2efb9,66,3,1,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
nim,C016,AggregateCollection,1,IMPL_6521a7e37bbf,00000000000100000000010000000000,AggregateExpr,UASF_0224;UASF_0225,data.flow;evaluation.order;nodes.expression;operations,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;value,data.flow;evaluation;structure.expression,TPK_e2d824ff04b8a038,4221,0,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
csharp,C016,AggregateCollection,1,IMPL_6521a7e37bbf,00000000000100000000010000000000,AggregateExpr,UASF_0224;UASF_0225,data.flow;evaluation.order;nodes.expression;operations,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;value,data.flow;evaluation;structure.expression,TPK_f6c5e33c099451bc,3833,8,5,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
java,C016,AggregateCollection,1,IMPL_6521a7e37bbf,00000000000100000000010000000000,AggregateExpr,UASF_0224;UASF_0225,data.flow;evaluation.order;nodes.expression;operations,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;value,data.flow;evaluation;structure.expression,TPK_718d661bb9f8de18,103,0,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
kotlin,C016,AggregateCollection,1,IMPL_6521a7e37bbf,00000000000100000000010000000000,AggregateExpr,UASF_0224;UASF_0225,data.flow;evaluation.order;nodes.expression;operations,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;value,data.flow;evaluation;structure.expression,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
swift,C016,AggregateCollection,1,IMPL_6521a7e37bbf,00000000000100000000010000000000,AggregateExpr,UASF_0224;UASF_0225,data.flow;evaluation.order;nodes.expression;operations,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind,attributes;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;value,data.flow;evaluation;structure.expression,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
r,C017,Comprehension,1,IMPL_8fe8f39c9a37,00010000000110001000000000000000,ComprehensionExpr;ForEachStmt,UASF_0054;UASF_0179;UASF_0218,binding.graph;control.flow;data.flow;effects.control;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;control.false;control.loop_back;control.next;control.true;data.def_use;data.operand;data.result;effect.has;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;branches;condition;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,binding.scope;control.flow;data.flow;effect;evaluation;structure.expression,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
go,C017,Comprehension,1,IMPL_8fe8f39c9a37,00010000000110001000000000000000,ComprehensionExpr;ForEachStmt,UASF_0054;UASF_0179;UASF_0218,binding.graph;control.flow;data.flow;effects.control;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;control.false;control.loop_back;control.next;control.true;data.def_use;data.operand;data.result;effect.has;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;branches;condition;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,binding.scope;control.flow;data.flow;effect;evaluation;structure.expression,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
rust,C017,Comprehension,1,IMPL_8fe8f39c9a37,00010000000110001000000000000000,ComprehensionExpr;ForEachStmt,UASF_0054;UASF_0179;UASF_0218,binding.graph;control.flow;data.flow;effects.control;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;control.false;control.loop_back;control.next;control.true;data.def_use;data.operand;data.result;effect.has;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;branches;condition;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,binding.scope;control.flow;data.flow;effect;evaluation;structure.expression,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
cpp,C017,Comprehension,1,IMPL_8fe8f39c9a37,00010000000110001000000000000000,ComprehensionExpr;ForEachStmt,UASF_0054;UASF_0179;UASF_0218,binding.graph;control.flow;data.flow;effects.control;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;control.false;control.loop_back;control.next;control.true;data.def_use;data.operand;data.result;effect.has;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;branches;condition;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,binding.scope;control.flow;data.flow;effect;evaluation;structure.expression,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
c,C017,Comprehension,?,IMPL_8fe8f39c9a37,00010000000110001000000000000000,ComprehensionExpr;ForEachStmt,UASF_0054;UASF_0179;UASF_0218,binding.graph;control.flow;data.flow;effects.control;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;control.false;control.loop_back;control.next;control.true;data.def_use;data.operand;data.result;effect.has;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;branches;condition;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,binding.scope;control.flow;data.flow;effect;evaluation;structure.expression,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
python,C017,Comprehension,1,IMPL_8fe8f39c9a37,00010000000110001000000000000000,ComprehensionExpr;ForEachStmt,UASF_0054;UASF_0179;UASF_0218,binding.graph;control.flow;data.flow;effects.control;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;control.false;control.loop_back;control.next;control.true;data.def_use;data.operand;data.result;effect.has;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;branches;condition;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,binding.scope;control.flow;data.flow;effect;evaluation;structure.expression,TPK_b7cba81ff380e55d,763,8,10,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
zig,C017,Comprehension,?,IMPL_8fe8f39c9a37,00010000000110001000000000000000,ComprehensionExpr;ForEachStmt,UASF_0054;UASF_0179;UASF_0218,binding.graph;control.flow;data.flow;effects.control;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;control.false;control.loop_back;control.next;control.true;data.def_use;data.operand;data.result;effect.has;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;branches;condition;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,binding.scope;control.flow;data.flow;effect;evaluation;structure.expression,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
julia,C017,Comprehension,1,IMPL_8fe8f39c9a37,00010000000110001000000000000000,ComprehensionExpr;ForEachStmt,UASF_0054;UASF_0179;UASF_0218,binding.graph;control.flow;data.flow;effects.control;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;control.false;control.loop_back;control.next;control.true;data.def_use;data.operand;data.result;effect.has;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;branches;condition;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,binding.scope;control.flow;data.flow;effect;evaluation;structure.expression,TPK_cebc4361427b10cd,2219,12,3,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
nim,C017,Comprehension,?,IMPL_8fe8f39c9a37,00010000000110001000000000000000,ComprehensionExpr;ForEachStmt,UASF_0054;UASF_0179;UASF_0218,binding.graph;control.flow;data.flow;effects.control;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;control.false;control.loop_back;control.next;control.true;data.def_use;data.operand;data.result;effect.has;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;branches;condition;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,binding.scope;control.flow;data.flow;effect;evaluation;structure.expression,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
csharp,C017,Comprehension,1,IMPL_8fe8f39c9a37,00010000000110001000000000000000,ComprehensionExpr;ForEachStmt,UASF_0054;UASF_0179;UASF_0218,binding.graph;control.flow;data.flow;effects.control;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;control.false;control.loop_back;control.next;control.true;data.def_use;data.operand;data.result;effect.has;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;branches;condition;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,binding.scope;control.flow;data.flow;effect;evaluation;structure.expression,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
java,C017,Comprehension,1,IMPL_8fe8f39c9a37,00010000000110001000000000000000,ComprehensionExpr;ForEachStmt,UASF_0054;UASF_0179;UASF_0218,binding.graph;control.flow;data.flow;effects.control;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;control.false;control.loop_back;control.next;control.true;data.def_use;data.operand;data.result;effect.has;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;branches;condition;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,binding.scope;control.flow;data.flow;effect;evaluation;structure.expression,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
kotlin,C017,Comprehension,1,IMPL_8fe8f39c9a37,00010000000110001000000000000000,ComprehensionExpr;ForEachStmt,UASF_0054;UASF_0179;UASF_0218,binding.graph;control.flow;data.flow;effects.control;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;control.false;control.loop_back;control.next;control.true;data.def_use;data.operand;data.result;effect.has;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;branches;condition;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,binding.scope;control.flow;data.flow;effect;evaluation;structure.expression,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
swift,C017,Comprehension,?,IMPL_8fe8f39c9a37,00010000000110001000000000000000,ComprehensionExpr;ForEachStmt,UASF_0054;UASF_0179;UASF_0218,binding.graph;control.flow;data.flow;effects.control;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;control.false;control.loop_back;control.next;control.true;data.def_use;data.operand;data.result;effect.has;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;branches;condition;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,binding.scope;control.flow;data.flow;effect;evaluation;structure.expression,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
r,C018,IfConditional,1,IMPL_a2c0df54f6bd,00000000000001000000000000000000,IfStmt,UASF_0182,control.flow;effects.control;evaluation.order,control.false;control.loop_back;control.next;control.true;data.def_use;data.operand;data.result;effect.has;evaluation.before,attributes;branches;condition;effects;evaluation_order;extensions;id;kind;operands;results;semantic_facets;source_span,control.flow;effect;evaluation,TPK_1338d0660ee91618,673,0,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
go,C018,IfConditional,1,IMPL_a2c0df54f6bd,00000000000001000000000000000000,IfStmt,UASF_0182,control.flow;effects.control;evaluation.order,control.false;control.loop_back;control.next;control.true;data.def_use;data.operand;data.result;effect.has;evaluation.before,attributes;branches;condition;effects;evaluation_order;extensions;id;kind;operands;results;semantic_facets;source_span,control.flow;effect;evaluation,TPK_56df78a2e34aec59,22,2,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
rust,C018,IfConditional,1,IMPL_a2c0df54f6bd,00000000000001000000000000000000,IfStmt,UASF_0182,control.flow;effects.control;evaluation.order,control.false;control.loop_back;control.next;control.true;data.def_use;data.operand;data.result;effect.has;evaluation.before,attributes;branches;condition;effects;evaluation_order;extensions;id;kind;operands;results;semantic_facets;source_span,control.flow;effect;evaluation,TPK_c0112529ef1a96d0,272,7,1,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
