table_index,name,kernel,arity,go,rust,cpp,c,python,zig,julia,nim,csharp,java,kotlin,swift
160,setFileTime,io,2,go:io:setFileTime,rust:io:setFileTime,cpp:io:setFileTime,c:io:setFileTime,python:io:setFileTime,zig:io:setFileTime,julia:io:setFileTime,nim:io:setFileTime,csharp:io:setFileTime,java:io:setFileTime,kotlin:io:setFileTime,swift:io:setFileTime
161,round,numeric-unary,-1,go:numeric-unary:round,rust:numeric-unary:round,cpp:numeric-unary:round,c:numeric-unary:round,python:numeric-unary:round,zig:numeric-unary:round,julia:numeric-unary:round,nim:numeric-unary:round,csharp:numeric-unary:round,java:numeric-unary:round,kotlin:numeric-unary:round,swift:numeric-unary:round
162,signif,numeric-unary,-1,go:numeric-unary:signif,rust:numeric-unary:signif,cpp:numeric-unary:signif,c:numeric-unary:signif,python:numeric-unary:signif,zig:numeric-unary:signif,julia:numeric-unary:signif,nim:numeric-unary:signif,csharp:numeric-unary:signif,java:numeric-unary:signif,kotlin:numeric-unary:signif,swift:numeric-unary:signif
163,log,numeric-unary,-1,go:numeric-unary:log,rust:numeric-unary:log,cpp:numeric-unary:log,c:numeric-unary:log,python:numeric-unary:log,zig:numeric-unary:log,julia:numeric-unary:log,nim:numeric-unary:log,csharp:numeric-unary:log,java:numeric-unary:log,kotlin:numeric-unary:log,swift:numeric-unary:log
164,log10,numeric-unary,1,go:numeric-unary:log10,rust:numeric-unary:log10,cpp:numeric-unary:log10,c:numeric-unary:log10,python:numeric-unary:log10,zig:numeric-unary:log10,julia:numeric-unary:log10,nim:numeric-unary:log10,csharp:numeric-unary:log10,java:numeric-unary:log10,kotlin:numeric-unary:log10,swift:numeric-unary:log10
165,log2,numeric-unary,1,go:numeric-unary:log2,rust:numeric-unary:log2,cpp:numeric-unary:log2,c:numeric-unary:log2,python:numeric-unary:log2,zig:numeric-unary:log2,julia:numeric-unary:log2,nim:numeric-unary:log2,csharp:numeric-unary:log2,java:numeric-unary:log2,kotlin:numeric-unary:log2,swift:numeric-unary:log2
166,abs,numeric-unary,1,go:numeric-unary:abs,rust:numeric-unary:abs,cpp:numeric-unary:abs,c:numeric-unary:abs,python:numeric-unary:abs,zig:numeric-unary:abs,julia:numeric-unary:abs,nim:numeric-unary:abs,csharp:numeric-unary:abs,java:numeric-unary:abs,kotlin:numeric-unary:abs,swift:numeric-unary:abs
167,floor,numeric-unary,1,go:numeric-unary:floor,rust:numeric-unary:floor,cpp:numeric-unary:floor,c:numeric-unary:floor,python:numeric-unary:floor,zig:numeric-unary:floor,julia:numeric-unary:floor,nim:numeric-unary:floor,csharp:numeric-unary:floor,java:numeric-unary:floor,kotlin:numeric-unary:floor,swift:numeric-unary:floor
168,ceiling,numeric-unary,1,go:numeric-unary:ceiling,rust:numeric-unary:ceiling,cpp:numeric-unary:ceiling,c:numeric-unary:ceiling,python:numeric-unary:ceiling,zig:numeric-unary:ceiling,julia:numeric-unary:ceiling,nim:numeric-unary:ceiling,csharp:numeric-unary:ceiling,java:numeric-unary:ceiling,kotlin:numeric-unary:ceiling,swift:numeric-unary:ceiling
169,sqrt,numeric-unary,1,go:numeric-unary:sqrt,rust:numeric-unary:sqrt,cpp:numeric-unary:sqrt,c:numeric-unary:sqrt,python:numeric-unary:sqrt,zig:numeric-unary:sqrt,julia:numeric-unary:sqrt,nim:numeric-unary:sqrt,csharp:numeric-unary:sqrt,java:numeric-unary:sqrt,kotlin:numeric-unary:sqrt,swift:numeric-unary:sqrt
170,sign,numeric-unary,1,go:numeric-unary:sign,rust:numeric-unary:sign,cpp:numeric-unary:sign,c:numeric-unary:sign,python:numeric-unary:sign,zig:numeric-unary:sign,julia:numeric-unary:sign,nim:numeric-unary:sign,csharp:numeric-unary:sign,java:numeric-unary:sign,kotlin:numeric-unary:sign,swift:numeric-unary:sign
171,trunc,numeric-unary,-1,go:numeric-unary:trunc,rust:numeric-unary:trunc,cpp:numeric-unary:trunc,c:numeric-unary:trunc,python:numeric-unary:trunc,zig:numeric-unary:trunc,julia:numeric-unary:trunc,nim:numeric-unary:trunc,csharp:numeric-unary:trunc,java:numeric-unary:trunc,kotlin:numeric-unary:trunc,swift:numeric-unary:trunc
172,exp,numeric-unary,1,go:numeric-unary:exp,rust:numeric-unary:exp,cpp:numeric-unary:exp,c:numeric-unary:exp,python:numeric-unary:exp,zig:numeric-unary:exp,julia:numeric-unary:exp,nim:numeric-unary:exp,csharp:numeric-unary:exp,java:numeric-unary:exp,kotlin:numeric-unary:exp,swift:numeric-unary:exp
173,expm1,numeric-unary,1,go:numeric-unary:expm1,rust:numeric-unary:expm1,cpp:numeric-unary:expm1,c:numeric-unary:expm1,python:numeric-unary:expm1,zig:numeric-unary:expm1,julia:numeric-unary:expm1,nim:numeric-unary:expm1,csharp:numeric-unary:expm1,java:numeric-unary:expm1,kotlin:numeric-unary:expm1,swift:numeric-unary:expm1
174,log1p,numeric-unary,1,go:numeric-unary:log1p,rust:numeric-unary:log1p,cpp:numeric-unary:log1p,c:numeric-unary:log1p,python:numeric-unary:log1p,zig:numeric-unary:log1p,julia:numeric-unary:log1p,nim:numeric-unary:log1p,csharp:numeric-unary:log1p,java:numeric-unary:log1p,kotlin:numeric-unary:log1p,swift:numeric-unary:log1p
175,cos,numeric-unary,1,go:numeric-unary:cos,rust:numeric-unary:cos,cpp:numeric-unary:cos,c:numeric-unary:cos,python:numeric-unary:cos,zig:numeric-unary:cos,julia:numeric-unary:cos,nim:numeric-unary:cos,csharp:numeric-unary:cos,java:numeric-unary:cos,kotlin:numeric-unary:cos,swift:numeric-unary:cos
176,sin,numeric-unary,1,go:numeric-unary:sin,rust:numeric-unary:sin,cpp:numeric-unary:sin,c:numeric-unary:sin,python:numeric-unary:sin,zig:numeric-unary:sin,julia:numeric-unary:sin,nim:numeric-unary:sin,csharp:numeric-unary:sin,java:numeric-unary:sin,kotlin:numeric-unary:sin,swift:numeric-unary:sin
177,tan,numeric-unary,1,go:numeric-unary:tan,rust:numeric-unary:tan,cpp:numeric-unary:tan,c:numeric-unary:tan,python:numeric-unary:tan,zig:numeric-unary:tan,julia:numeric-unary:tan,nim:numeric-unary:tan,csharp:numeric-unary:tan,java:numeric-unary:tan,kotlin:numeric-unary:tan,swift:numeric-unary:tan
178,acos,numeric-unary,1,go:numeric-unary:acos,rust:numeric-unary:acos,cpp:numeric-unary:acos,c:numeric-unary:acos,python:numeric-unary:acos,zig:numeric-unary:acos,julia:numeric-unary:acos,nim:numeric-unary:acos,csharp:numeric-unary:acos,java:numeric-unary:acos,kotlin:numeric-unary:acos,swift:numeric-unary:acos
179,asin,numeric-unary,1,go:numeric-unary:asin,rust:numeric-unary:asin,cpp:numeric-unary:asin,c:numeric-unary:asin,python:numeric-unary:asin,zig:numeric-unary:asin,julia:numeric-unary:asin,nim:numeric-unary:asin,csharp:numeric-unary:asin,java:numeric-unary:asin,kotlin:numeric-unary:asin,swift:numeric-unary:asin
180,atan,numeric-unary,1,go:numeric-unary:atan,rust:numeric-unary:atan,cpp:numeric-unary:atan,c:numeric-unary:atan,python:numeric-unary:atan,zig:numeric-unary:atan,julia:numeric-unary:atan,nim:numeric-unary:atan,csharp:numeric-unary:atan,java:numeric-unary:atan,kotlin:numeric-unary:atan,swift:numeric-unary:atan
181,cosh,numeric-unary,1,go:numeric-unary:cosh,rust:numeric-unary:cosh,cpp:numeric-unary:cosh,c:numeric-unary:cosh,python:numeric-unary:cosh,zig:numeric-unary:cosh,julia:numeric-unary:cosh,nim:numeric-unary:cosh,csharp:numeric-unary:cosh,java:numeric-unary:cosh,kotlin:numeric-unary:cosh,swift:numeric-unary:cosh
182,sinh,numeric-unary,1,go:numeric-unary:sinh,rust:numeric-unary:sinh,cpp:numeric-unary:sinh,c:numeric-unary:sinh,python:numeric-unary:sinh,zig:numeric-unary:sinh,julia:numeric-unary:sinh,nim:numeric-unary:sinh,csharp:numeric-unary:sinh,java:numeric-unary:sinh,kotlin:numeric-unary:sinh,swift:numeric-unary:sinh
183,tanh,numeric-unary,1,go:numeric-unary:tanh,rust:numeric-unary:tanh,cpp:numeric-unary:tanh,c:numeric-unary:tanh,python:numeric-unary:tanh,zig:numeric-unary:tanh,julia:numeric-unary:tanh,nim:numeric-unary:tanh,csharp:numeric-unary:tanh,java:numeric-unary:tanh,kotlin:numeric-unary:tanh,swift:numeric-unary:tanh
184,acosh,numeric-unary,1,go:numeric-unary:acosh,rust:numeric-unary:acosh,cpp:numeric-unary:acosh,c:numeric-unary:acosh,python:numeric-unary:acosh,zig:numeric-unary:acosh,julia:numeric-unary:acosh,nim:numeric-unary:acosh,csharp:numeric-unary:acosh,java:numeric-unary:acosh,kotlin:numeric-unary:acosh,swift:numeric-unary:acosh
185,asinh,numeric-unary,1,go:numeric-unary:asinh,rust:numeric-unary:asinh,cpp:numeric-unary:asinh,c:numeric-unary:asinh,python:numeric-unary:asinh,zig:numeric-unary:asinh,julia:numeric-unary:asinh,nim:numeric-unary:asinh,csharp:numeric-unary:asinh,java:numeric-unary:asinh,kotlin:numeric-unary:asinh,swift:numeric-unary:asinh
186,atanh,numeric-unary,1,go:numeric-unary:atanh,rust:numeric-unary:atanh,cpp:numeric-unary:atanh,c:numeric-unary:atanh,python:numeric-unary:atanh,zig:numeric-unary:atanh,julia:numeric-unary:atanh,nim:numeric-unary:atanh,csharp:numeric-unary:atanh,java:numeric-unary:atanh,kotlin:numeric-unary:atanh,swift:numeric-unary:atanh
187,lgamma,numeric-unary,1,go:numeric-unary:lgamma,rust:numeric-unary:lgamma,cpp:numeric-unary:lgamma,c:numeric-unary:lgamma,python:numeric-unary:lgamma,zig:numeric-unary:lgamma,julia:numeric-unary:lgamma,nim:numeric-unary:lgamma,csharp:numeric-unary:lgamma,java:numeric-unary:lgamma,kotlin:numeric-unary:lgamma,swift:numeric-unary:lgamma
188,gamma,numeric-unary,1,go:numeric-unary:gamma,rust:numeric-unary:gamma,cpp:numeric-unary:gamma,c:numeric-unary:gamma,python:numeric-unary:gamma,zig:numeric-unary:gamma,julia:numeric-unary:gamma,nim:numeric-unary:gamma,csharp:numeric-unary:gamma,java:numeric-unary:gamma,kotlin:numeric-unary:gamma,swift:numeric-unary:gamma
189,digamma,numeric-unary,1,go:numeric-unary:digamma,rust:numeric-unary:digamma,cpp:numeric-unary:digamma,c:numeric-unary:digamma,python:numeric-unary:digamma,zig:numeric-unary:digamma,julia:numeric-unary:digamma,nim:numeric-unary:digamma,csharp:numeric-unary:digamma,java:numeric-unary:digamma,kotlin:numeric-unary:digamma,swift:numeric-unary:digamma
190,trigamma,numeric-unary,1,go:numeric-unary:trigamma,rust:numeric-unary:trigamma,cpp:numeric-unary:trigamma,c:numeric-unary:trigamma,python:numeric-unary:trigamma,zig:numeric-unary:trigamma,julia:numeric-unary:trigamma,nim:numeric-unary:trigamma,csharp:numeric-unary:trigamma,java:numeric-unary:trigamma,kotlin:numeric-unary:trigamma,swift:numeric-unary:trigamma
191,cospi,numeric-unary,1,go:numeric-unary:cospi,rust:numeric-unary:cospi,cpp:numeric-unary:cospi,c:numeric-unary:cospi,python:numeric-unary:cospi,zig:numeric-unary:cospi,julia:numeric-unary:cospi,nim:numeric-unary:cospi,csharp:numeric-unary:cospi,java:numeric-unary:cospi,kotlin:numeric-unary:cospi,swift:numeric-unary:cospi
192,sinpi,numeric-unary,1,go:numeric-unary:sinpi,rust:numeric-unary:sinpi,cpp:numeric-unary:sinpi,c:numeric-unary:sinpi,python:numeric-unary:sinpi,zig:numeric-unary:sinpi,julia:numeric-unary:sinpi,nim:numeric-unary:sinpi,csharp:numeric-unary:sinpi,java:numeric-unary:sinpi,kotlin:numeric-unary:sinpi,swift:numeric-unary:sinpi
193,tanpi,numeric-unary,1,go:numeric-unary:tanpi,rust:numeric-unary:tanpi,cpp:numeric-unary:tanpi,c:numeric-unary:tanpi,python:numeric-unary:tanpi,zig:numeric-unary:tanpi,julia:numeric-unary:tanpi,nim:numeric-unary:tanpi,csharp:numeric-unary:tanpi,java:numeric-unary:tanpi,kotlin:numeric-unary:tanpi,swift:numeric-unary:tanpi
194,atan2,numeric-binary,2,go:numeric-binary:atan2,rust:numeric-binary:atan2,cpp:numeric-binary:atan2,c:numeric-binary:atan2,python:numeric-binary:atan2,zig:numeric-binary:atan2,julia:numeric-binary:atan2,nim:numeric-binary:atan2,csharp:numeric-binary:atan2,java:numeric-binary:atan2,kotlin:numeric-binary:atan2,swift:numeric-binary:atan2
195,lbeta,numeric-binary,2,go:numeric-binary:lbeta,rust:numeric-binary:lbeta,cpp:numeric-binary:lbeta,c:numeric-binary:lbeta,python:numeric-binary:lbeta,zig:numeric-binary:lbeta,julia:numeric-binary:lbeta,nim:numeric-binary:lbeta,csharp:numeric-binary:lbeta,java:numeric-binary:lbeta,kotlin:numeric-binary:lbeta,swift:numeric-binary:lbeta
196,beta,numeric-binary,2,go:numeric-binary:beta,rust:numeric-binary:beta,cpp:numeric-binary:beta,c:numeric-binary:beta,python:numeric-binary:beta,zig:numeric-binary:beta,julia:numeric-binary:beta,nim:numeric-binary:beta,csharp:numeric-binary:beta,java:numeric-binary:beta,kotlin:numeric-binary:beta,swift:numeric-binary:beta
197,lchoose,numeric-binary,2,go:numeric-binary:lchoose,rust:numeric-binary:lchoose,cpp:numeric-binary:lchoose,c:numeric-binary:lchoose,python:numeric-binary:lchoose,zig:numeric-binary:lchoose,julia:numeric-binary:lchoose,nim:numeric-binary:lchoose,csharp:numeric-binary:lchoose,java:numeric-binary:lchoose,kotlin:numeric-binary:lchoose,swift:numeric-binary:lchoose
198,choose,numeric-binary,2,go:numeric-binary:choose,rust:numeric-binary:choose,cpp:numeric-binary:choose,c:numeric-binary:choose,python:numeric-binary:choose,zig:numeric-binary:choose,julia:numeric-binary:choose,nim:numeric-binary:choose,csharp:numeric-binary:choose,java:numeric-binary:choose,kotlin:numeric-binary:choose,swift:numeric-binary:choose
199,besselJ,numeric-binary,2,go:numeric-binary:besselJ,rust:numeric-binary:besselJ,cpp:numeric-binary:besselJ,c:numeric-binary:besselJ,python:numeric-binary:besselJ,zig:numeric-binary:besselJ,julia:numeric-binary:besselJ,nim:numeric-binary:besselJ,csharp:numeric-binary:besselJ,java:numeric-binary:besselJ,kotlin:numeric-binary:besselJ,swift:numeric-binary:besselJ
200,besselY,numeric-binary,2,go:numeric-binary:besselY,rust:numeric-binary:besselY,cpp:numeric-binary:besselY,c:numeric-binary:besselY,python:numeric-binary:besselY,zig:numeric-binary:besselY,julia:numeric-binary:besselY,nim:numeric-binary:besselY,csharp:numeric-binary:besselY,java:numeric-binary:besselY,kotlin:numeric-binary:besselY,swift:numeric-binary:besselY
201,psigamma,numeric-binary,2,go:numeric-binary:psigamma,rust:numeric-binary:psigamma,cpp:numeric-binary:psigamma,c:numeric-binary:psigamma,python:numeric-binary:psigamma,zig:numeric-binary:psigamma,julia:numeric-binary:psigamma,nim:numeric-binary:psigamma,csharp:numeric-binary:psigamma,java:numeric-binary:psigamma,kotlin:numeric-binary:psigamma,swift:numeric-binary:psigamma
202,Re,numeric-complex,1,go:numeric-complex:Re,rust:numeric-complex:Re,cpp:numeric-complex:Re,c:numeric-complex:Re,python:numeric-complex:Re,zig:numeric-complex:Re,julia:numeric-complex:Re,nim:numeric-complex:Re,csharp:numeric-complex:Re,java:numeric-complex:Re,kotlin:numeric-complex:Re,swift:numeric-complex:Re
203,Im,numeric-complex,1,go:numeric-complex:Im,rust:numeric-complex:Im,cpp:numeric-complex:Im,c:numeric-complex:Im,python:numeric-complex:Im,zig:numeric-complex:Im,julia:numeric-complex:Im,nim:numeric-complex:Im,csharp:numeric-complex:Im,java:numeric-complex:Im,kotlin:numeric-complex:Im,swift:numeric-complex:Im
204,Mod,numeric-complex,1,go:numeric-complex:Mod,rust:numeric-complex:Mod,cpp:numeric-complex:Mod,c:numeric-complex:Mod,python:numeric-complex:Mod,zig:numeric-complex:Mod,julia:numeric-complex:Mod,nim:numeric-complex:Mod,csharp:numeric-complex:Mod,java:numeric-complex:Mod,kotlin:numeric-complex:Mod,swift:numeric-complex:Mod
205,Arg,numeric-complex,1,go:numeric-complex:Arg,rust:numeric-complex:Arg,cpp:numeric-complex:Arg,c:numeric-complex:Arg,python:numeric-complex:Arg,zig:numeric-complex:Arg,julia:numeric-complex:Arg,nim:numeric-complex:Arg,csharp:numeric-complex:Arg,java:numeric-complex:Arg,kotlin:numeric-complex:Arg,swift:numeric-complex:Arg
206,Conj,numeric-complex,1,go:numeric-complex:Conj,rust:numeric-complex:Conj,cpp:numeric-complex:Conj,c:numeric-complex:Conj,python:numeric-complex:Conj,zig:numeric-complex:Conj,julia:numeric-complex:Conj,nim:numeric-complex:Conj,csharp:numeric-complex:Conj,java:numeric-complex:Conj,kotlin:numeric-complex:Conj,swift:numeric-complex:Conj
207,besselI,numeric-ternary,3,go:numeric-ternary:besselI,rust:numeric-ternary:besselI,cpp:numeric-ternary:besselI,c:numeric-ternary:besselI,python:numeric-ternary:besselI,zig:numeric-ternary:besselI,julia:numeric-ternary:besselI,nim:numeric-ternary:besselI,csharp:numeric-ternary:besselI,java:numeric-ternary:besselI,kotlin:numeric-ternary:besselI,swift:numeric-ternary:besselI
208,besselK,numeric-ternary,3,go:numeric-ternary:besselK,rust:numeric-ternary:besselK,cpp:numeric-ternary:besselK,c:numeric-ternary:besselK,python:numeric-ternary:besselK,zig:numeric-ternary:besselK,julia:numeric-ternary:besselK,nim:numeric-ternary:besselK,csharp:numeric-ternary:besselK,java:numeric-ternary:besselK,kotlin:numeric-ternary:besselK,swift:numeric-ternary:besselK
209,rchisq,random,2,go:random:rchisq,rust:random:rchisq,cpp:random:rchisq,c:random:rchisq,python:random:rchisq,zig:random:rchisq,julia:random:rchisq,nim:random:rchisq,csharp:random:rchisq,java:random:rchisq,kotlin:random:rchisq,swift:random:rchisq
210,rexp,random,2,go:random:rexp,rust:random:rexp,cpp:random:rexp,c:random:rexp,python:random:rexp,zig:random:rexp,julia:random:rexp,nim:random:rexp,csharp:random:rexp,java:random:rexp,kotlin:random:rexp,swift:random:rexp
211,rgeom,random,2,go:random:rgeom,rust:random:rgeom,cpp:random:rgeom,c:random:rgeom,python:random:rgeom,zig:random:rgeom,julia:random:rgeom,nim:random:rgeom,csharp:random:rgeom,java:random:rgeom,kotlin:random:rgeom,swift:random:rgeom
212,rpois,random,2,go:random:rpois,rust:random:rpois,cpp:random:rpois,c:random:rpois,python:random:rpois,zig:random:rpois,julia:random:rpois,nim:random:rpois,csharp:random:rpois,java:random:rpois,kotlin:random:rpois,swift:random:rpois
213,rt,random,2,go:random:rt,rust:random:rt,cpp:random:rt,c:random:rt,python:random:rt,zig:random:rt,julia:random:rt,nim:random:rt,csharp:random:rt,java:random:rt,kotlin:random:rt,swift:random:rt
214,rsignrank,random,2,go:random:rsignrank,rust:random:rsignrank,cpp:random:rsignrank,c:random:rsignrank,python:random:rsignrank,zig:random:rsignrank,julia:random:rsignrank,nim:random:rsignrank,csharp:random:rsignrank,java:random:rsignrank,kotlin:random:rsignrank,swift:random:rsignrank
215,rbeta,random,3,go:random:rbeta,rust:random:rbeta,cpp:random:rbeta,c:random:rbeta,python:random:rbeta,zig:random:rbeta,julia:random:rbeta,nim:random:rbeta,csharp:random:rbeta,java:random:rbeta,kotlin:random:rbeta,swift:random:rbeta
216,rbinom,random,3,go:random:rbinom,rust:random:rbinom,cpp:random:rbinom,c:random:rbinom,python:random:rbinom,zig:random:rbinom,julia:random:rbinom,nim:random:rbinom,csharp:random:rbinom,java:random:rbinom,kotlin:random:rbinom,swift:random:rbinom
217,rcauchy,random,3,go:random:rcauchy,rust:random:rcauchy,cpp:random:rcauchy,c:random:rcauchy,python:random:rcauchy,zig:random:rcauchy,julia:random:rcauchy,nim:random:rcauchy,csharp:random:rcauchy,java:random:rcauchy,kotlin:random:rcauchy,swift:random:rcauchy
218,rf,random,3,go:random:rf,rust:random:rf,cpp:random:rf,c:random:rf,python:random:rf,zig:random:rf,julia:random:rf,nim:random:rf,csharp:random:rf,java:random:rf,kotlin:random:rf,swift:random:rf
219,rgamma,random,3,go:random:rgamma,rust:random:rgamma,cpp:random:rgamma,c:random:rgamma,python:random:rgamma,zig:random:rgamma,julia:random:rgamma,nim:random:rgamma,csharp:random:rgamma,java:random:rgamma,kotlin:random:rgamma,swift:random:rgamma
220,rlnorm,random,3,go:random:rlnorm,rust:random:rlnorm,cpp:random:rlnorm,c:random:rlnorm,python:random:rlnorm,zig:random:rlnorm,julia:random:rlnorm,nim:random:rlnorm,csharp:random:rlnorm,java:random:rlnorm,kotlin:random:rlnorm,swift:random:rlnorm
221,rlogis,random,3,go:random:rlogis,rust:random:rlogis,cpp:random:rlogis,c:random:rlogis,python:random:rlogis,zig:random:rlogis,julia:random:rlogis,nim:random:rlogis,csharp:random:rlogis,java:random:rlogis,kotlin:random:rlogis,swift:random:rlogis
222,rnbinom,random,3,go:random:rnbinom,rust:random:rnbinom,cpp:random:rnbinom,c:random:rnbinom,python:random:rnbinom,zig:random:rnbinom,julia:random:rnbinom,nim:random:rnbinom,csharp:random:rnbinom,java:random:rnbinom,kotlin:random:rnbinom,swift:random:rnbinom
223,rnbinom_mu,random,3,go:random:rnbinom_mu,rust:random:rnbinom_mu,cpp:random:rnbinom_mu,c:random:rnbinom_mu,python:random:rnbinom_mu,zig:random:rnbinom_mu,julia:random:rnbinom_mu,nim:random:rnbinom_mu,csharp:random:rnbinom_mu,java:random:rnbinom_mu,kotlin:random:rnbinom_mu,swift:random:rnbinom_mu
224,rnchisq,random,3,go:random:rnchisq,rust:random:rnchisq,cpp:random:rnchisq,c:random:rnchisq,python:random:rnchisq,zig:random:rnchisq,julia:random:rnchisq,nim:random:rnchisq,csharp:random:rnchisq,java:random:rnchisq,kotlin:random:rnchisq,swift:random:rnchisq
225,rnorm,random,3,go:random:rnorm,rust:random:rnorm,cpp:random:rnorm,c:random:rnorm,python:random:rnorm,zig:random:rnorm,julia:random:rnorm,nim:random:rnorm,csharp:random:rnorm,java:random:rnorm,kotlin:random:rnorm,swift:random:rnorm
226,runif,random,3,go:random:runif,rust:random:runif,cpp:random:runif,c:random:runif,python:random:runif,zig:random:runif,julia:random:runif,nim:random:runif,csharp:random:runif,java:random:runif,kotlin:random:runif,swift:random:runif
227,rweibull,random,3,go:random:rweibull,rust:random:rweibull,cpp:random:rweibull,c:random:rweibull,python:random:rweibull,zig:random:rweibull,julia:random:rweibull,nim:random:rweibull,csharp:random:rweibull,java:random:rweibull,kotlin:random:rweibull,swift:random:rweibull
228,rwilcox,random,3,go:random:rwilcox,rust:random:rwilcox,cpp:random:rwilcox,c:random:rwilcox,python:random:rwilcox,zig:random:rwilcox,julia:random:rwilcox,nim:random:rwilcox,csharp:random:rwilcox,java:random:rwilcox,kotlin:random:rwilcox,swift:random:rwilcox
229,rhyper,random,4,go:random:rhyper,rust:random:rhyper,cpp:random:rhyper,c:random:rhyper,python:random:rhyper,zig:random:rhyper,julia:random:rhyper,nim:random:rhyper,csharp:random:rhyper,java:random:rhyper,kotlin:random:rhyper,swift:random:rhyper
230,sample,random,4,go:random:sample,rust:random:sample,cpp:random:sample,c:random:sample,python:random:sample,zig:random:sample,julia:random:sample,nim:random:sample,csharp:random:sample,java:random:sample,kotlin:random:sample,swift:random:sample
231,sample2,random,2,go:random:sample2,rust:random:sample2,cpp:random:sample2,c:random:sample2,python:random:sample2,zig:random:sample2,julia:random:sample2,nim:random:sample2,csharp:random:sample2,java:random:sample2,kotlin:random:sample2,swift:random:sample2
232,RNGkind,random,4,go:random:RNGkind,rust:random:RNGkind,cpp:random:RNGkind,c:random:RNGkind,python:random:RNGkind,zig:random:RNGkind,julia:random:RNGkind,nim:random:RNGkind,csharp:random:RNGkind,java:random:RNGkind,kotlin:random:RNGkind,swift:random:RNGkind
233,set.seed,random,5,go:random:set.seed,rust:random:set.seed,cpp:random:set.seed,c:random:set.seed,python:random:set.seed,zig:random:set.seed,julia:random:set.seed,nim:random:set.seed,csharp:random:set.seed,java:random:set.seed,kotlin:random:set.seed,swift:random:set.seed
234,sum,reduction,-1,go:reduction:sum,rust:reduction:sum,cpp:reduction:sum,c:reduction:sum,python:reduction:sum,zig:reduction:sum,julia:reduction:sum,nim:reduction:sum,csharp:reduction:sum,java:reduction:sum,kotlin:reduction:sum,swift:reduction:sum
235,min,reduction,-1,go:reduction:min,rust:reduction:min,cpp:reduction:min,c:reduction:min,python:reduction:min,zig:reduction:min,julia:reduction:min,nim:reduction:min,csharp:reduction:min,java:reduction:min,kotlin:reduction:min,swift:reduction:min
236,max,reduction,-1,go:reduction:max,rust:reduction:max,cpp:reduction:max,c:reduction:max,python:reduction:max,zig:reduction:max,julia:reduction:max,nim:reduction:max,csharp:reduction:max,java:reduction:max,kotlin:reduction:max,swift:reduction:max
237,prod,reduction,-1,go:reduction:prod,rust:reduction:prod,cpp:reduction:prod,c:reduction:prod,python:reduction:prod,zig:reduction:prod,julia:reduction:prod,nim:reduction:prod,csharp:reduction:prod,java:reduction:prod,kotlin:reduction:prod,swift:reduction:prod
238,mean,reduction,1,go:reduction:mean,rust:reduction:mean,cpp:reduction:mean,c:reduction:mean,python:reduction:mean,zig:reduction:mean,julia:reduction:mean,nim:reduction:mean,csharp:reduction:mean,java:reduction:mean,kotlin:reduction:mean,swift:reduction:mean
239,range,runtime,-1,go:runtime:range,rust:runtime:range,cpp:runtime:range,c:runtime:range,python:runtime:range,zig:runtime:range,julia:runtime:range,nim:runtime:range,csharp:runtime:range,java:runtime:range,kotlin:runtime:range,swift:runtime:range
240,cumsum,cumulative,1,go:cumulative:cumsum,rust:cumulative:cumsum,cpp:cumulative:cumsum,c:cumulative:cumsum,python:cumulative:cumsum,zig:cumulative:cumsum,julia:cumulative:cumsum,nim:cumulative:cumsum,csharp:cumulative:cumsum,java:cumulative:cumsum,kotlin:cumulative:cumsum,swift:cumulative:cumsum
241,cumprod,cumulative,1,go:cumulative:cumprod,rust:cumulative:cumprod,cpp:cumulative:cumprod,c:cumulative:cumprod,python:cumulative:cumprod,zig:cumulative:cumprod,julia:cumulative:cumprod,nim:cumulative:cumprod,csharp:cumulative:cumprod,java:cumulative:cumprod,kotlin:cumulative:cumprod,swift:cumulative:cumprod
242,cummax,cumulative,1,go:cumulative:cummax,rust:cumulative:cummax,cpp:cumulative:cummax,c:cumulative:cummax,python:cumulative:cummax,zig:cumulative:cummax,julia:cumulative:cummax,nim:cumulative:cummax,csharp:cumulative:cummax,java:cumulative:cummax,kotlin:cumulative:cummax,swift:cumulative:cummax
243,cummin,cumulative,1,go:cumulative:cummin,rust:cumulative:cummin,cpp:cumulative:cummin,c:cumulative:cummin,python:cumulative:cummin,zig:cumulative:cummin,julia:cumulative:cummin,nim:cumulative:cummin,csharp:cumulative:cummin,java:cumulative:cummin,kotlin:cumulative:cummin,swift:cumulative:cummin
244,cumvar,cumulative,1,go:cumulative:cumvar,rust:cumulative:cumvar,cpp:cumulative:cumvar,c:cumulative:cumvar,python:cumulative:cumvar,zig:cumulative:cumvar,julia:cumulative:cumvar,nim:cumulative:cumvar,csharp:cumulative:cumvar,java:cumulative:cumvar,kotlin:cumulative:cumvar,swift:cumulative:cumvar
245,as.character,coercion-atomic,-1,go:coercion-atomic:as.character,rust:coercion-atomic:as.character,cpp:coercion-atomic:as.character,c:coercion-atomic:as.character,python:coercion-atomic:as.character,zig:coercion-atomic:as.character,julia:coercion-atomic:as.character,nim:coercion-atomic:as.character,csharp:coercion-atomic:as.character,java:coercion-atomic:as.character,kotlin:coercion-atomic:as.character,swift:coercion-atomic:as.character
