demand_id,earliest_stage,root_cause_kind,required_semantic_facts,semantic_operations,primitive_demand,minimal_witness_case,violated_truths
RC0074,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:CALL()|ITERATION()|LITERAL(string)|LOAD(),CALL|ITERATION|LITERAL|LOAD,CALL()|ITERATION()|LITERAL(string)|LOAD(),19c096cf69781a3fde534e5b2f06db30e9eef7261fe07e8d60d7ff5f9132e90b,
RC0075,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:CALL()|ITERATION()|LOAD(),CALL|ITERATION|LOAD,CALL()|ITERATION()|LOAD(),36829cf5ea757e5b6b1775668d4514ef09c07cf20277ce15e5e88afa2394f115,
RC0076,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:CALL()|LITERAL(number)|LITERAL(string)|LOAD(),CALL|LITERAL|LOAD,CALL()|LITERAL(number)|LITERAL(string)|LOAD(),878a5b1ac004e59e989388c0c9457866a26b38c16c7a39826ab2ff9a54cb2715,
RC0077,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:CALL()|LITERAL(number)|LOAD(),CALL|LITERAL|LOAD,CALL()|LITERAL(number)|LOAD(),3ca55df4536f9a62f3f46d7cf8cc77228dd732949ff93b47703647ea0d339077,
RC0078,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:CALL()|LITERAL(string)|LOAD(),CALL|LITERAL|LOAD,CALL()|LITERAL(string)|LOAD(),207b19db05873b7bd1f58833c54a60fd49b817d327ca09c121b13ed4792e5b3e,
RC0079,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:CALL()|LOAD(),CALL|LOAD,CALL()|LOAD(),05e1697c4259e11a861b32b4385ff11681798c3ea769be5ebd356e5b21e0d2b7,
RC0080,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:CALL()|LOAD()|LT(),CALL|LOAD|LT,CALL()|LOAD()|LT(),16fd267f5e5021185306cf2984974c64cd90072d19e69a28797e2c327d2f4bc1,
RC0081,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:CALL()|LOAD()|RETURN(),CALL|LOAD|RETURN,CALL()|LOAD()|RETURN(),e423a6ad93d67ee7aaeae1326966094f68dd25cac7c01f1667b8144a0999f87b,
RC0082,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:EQ()|GE()|GT()|LE()|LOAD()|LT()|NE(),EQ|GE|GT|LE|LOAD|LT|NE,EQ()|GE()|GT()|LE()|LOAD()|LT()|NE(),aa05ac249286f63626114ca61ea38afc20fd4c3904c8f206d02ecbe4d58ea31d,T0072|T0075|T0085|T0087|T0088
RC0083,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:EQ()|LOAD(),EQ|LOAD,EQ()|LOAD(),8f3b86b1de5c030614e3b95d2ccbd436ce2672a331212e07a93e18c1173669df,T0075
RC0084,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:GT()|LITERAL(number)|LOAD()|LT(),GT|LITERAL|LOAD|LT,GT()|LITERAL(number)|LOAD()|LT(),e45763b4d08605cffa31cb61c26071274cda2b87a23a9f9b0a6e7a80ca540e33,T0085|T0087|T0088
RC0085,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:GT()|LOAD()|LT(),GT|LOAD|LT,GT()|LOAD()|LT(),7be1e43d0b211a8a09208ab034150e58b419a4b4048ebcd8a3423f1193d9f34b,T0085|T0087|T0088
RC0086,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ITERATION()|LOAD(),ITERATION|LOAD,ITERATION()|LOAD(),0ceae990f83619d1d117b750e64fc32e909b03f6ae572cee2c5a93e204af4982,
RC0087,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:LITERAL(number)|LITERAL(string)|LOAD(),LITERAL|LOAD,LITERAL(number)|LITERAL(string)|LOAD(),e86e962ce8e18c694079758c40a20653e015d01d844758fce7198eac4903cc5e,
RC0088,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:LITERAL(number)|LOAD(),LITERAL|LOAD,LITERAL(number)|LOAD(),10e33b15dece1d772e4d58534facac39a3d604042e9570ecdeaadcd34d09cf91,
RC0089,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:LITERAL(number)|LOAD()|NOT(),LITERAL|LOAD|NOT,LITERAL(number)|LOAD()|NOT(),2fe77216437a2cd054a22e72eee06a593125d8669fabfa449235cc2e11c419f8,T0063
RC0090,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:LITERAL(number)|LOAD()|RETURN(),LITERAL|LOAD|RETURN,LITERAL(number)|LOAD()|RETURN(),ee62902259844a159cc8bdb429907dd0517e8c426843539d8a414bf8e699a1d9,
RC0091,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:LITERAL(number)|MUL(),LITERAL|MUL,LITERAL(number)|MUL(),393ba82120dbb6353a9a68f124dc03307616536b44c698cb408b6b234f568b15,T0065|T0067|T0068
RC0092,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:LITERAL(number)|POW()|SUB(),LITERAL|POW|SUB,LITERAL(number)|POW()|SUB(),6921ea6dba8ca43bd7c607144e1ae03cffe8d0e17fc25912326738a8584f8c21,
RC0093,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:LITERAL(number)|SUB(),LITERAL|SUB,LITERAL(number)|SUB(),136d974a3dc22638344464f957daa3b26999d6849efe8460f4a49b044f7bee58,
RC0094,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:LITERAL(string)|LOAD()|LT(),LITERAL|LOAD|LT,LITERAL(string)|LOAD()|LT(),8c070e02b76c9ca20a71e9745f77bd05ea6d850be9d2652b6e129f6028e1b85f,
RC0095,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:LOAD(),LOAD,LOAD(),0948bd68ac309f6188c9b519ca5cc9a3befb4b35a82e1e08f412569572e9bbea,
RC0096,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:LOAD()|LT(),LOAD|LT,LOAD()|LT(),074b477adae6dce53d3f3c01c3fe8cdeae34bc4ec39766667647adbebb4b724d,
RC0097,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:LOAD()|LT()|RETURN(),LOAD|LT|RETURN,LOAD()|LT()|RETURN(),a47ff80fdb18d0224914c6686dd4e2cefda36f29f6f4fb3b57604dc5a418ddf9,
RC0098,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:LOAD()|MUL(),LOAD|MUL,LOAD()|MUL(),7a6a69be1433cfd1ca54a6e93a47495166649aa68600e49e409fddd906631db7,T0065|T0067|T0068
RC0099,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:LOAD()|NOT(),LOAD|NOT,LOAD()|NOT(),0acdce0b0d2318fce9a65ecb6c9f97415b5987d171ce178a3c9e45900d733d41,T0063
RC0100,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:LOAD()|NOT()|OR(),LOAD|NOT|OR,LOAD()|NOT()|OR(),a71c1809f55e8d92c218a0510cd6d0a4d72be58b853b52ad0838de9735003afe,T0063
RC0101,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:LOAD()|NOT()|SUB(),LOAD|NOT|SUB,LOAD()|NOT()|SUB(),5f3ea469b3e1032e2fe194d4b7535ac50ef7ce00a32bd225a1366b7b035066d1,T0063
RC0102,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:LOAD()|OR()|RETURN(),LOAD|OR|RETURN,LOAD()|OR()|RETURN(),cf7bff2f076ab2c932ac2faee076fb9e535c6003ea4a0aa204fb52c02cf95c07,
RC0103,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:LOAD()|RETURN(),LOAD|RETURN,LOAD()|RETURN(),5628653de1c6a39793d07781e92acda866f63a9655cc4eaf1d68e3d395de525d,
RC0104,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:LOAD()|SUB(),LOAD|SUB,LOAD()|SUB(),a797866c4ef4ac9d9a02e9b517446b6925735e64576d244a54945de432770577,
RC0105,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,UAST_DATA_UNAVAILABLE,,,141f99339e1b556e33e96529e54fd9662c3d711e983c0e547645ef5206b736d9,
RC0106,V5_TARGET_REPARSE,TARGET_SYNTAX_ROOT_CAUSE,PRIMITIVE_COMPOSITION:LOAD(),LOAD,LOAD(),15f8a15f97c775baeef720e3ad4b58054edf1f38a2f40f3ee16eb5748e44a51e,
RC0107,V5_TARGET_REPARSE,TARGET_SYNTAX_ROOT_CAUSE,PRIMITIVE_COMPOSITION:LOAD()|NOT(),LOAD|NOT,LOAD()|NOT(),789e87e634cebae31d12e8ef8517bc5c73c80f16ca4251c66ae76fa84277ecea,T0063
RC0108,V5_TARGET_REPARSE,TARGET_SYNTAX_ROOT_CAUSE,UAST_DATA_UNAVAILABLE,,,16f6a8b4ce36b71aedad7baadede071e70de9db7de38a7f8442817f01aac6632,
