language_rule,ALIAS,BLANK,CHOICE,FIELD,IMMEDIATE_TOKEN,PATTERN,PREC,PREC_DYNAMIC,PREC_LEFT,PREC_RIGHT,REPEAT,REPEAT1,SEQ,STRING,SYMBOL,TOKEN
cpp:field_initializer,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0
cpp:field_initializer_list,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
cpp:fold_expression,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:for_range_loop,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:for_statement,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:friend_declaration,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:function_declarator,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
cpp:function_definition,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
cpp:function_field_declarator,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
cpp:function_type_declarator,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
cpp:generic_expression,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0
cpp:global_module_fragment_declaration,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
cpp:gnu_asm_clobber_list,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0
cpp:gnu_asm_expression,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0
cpp:gnu_asm_goto_list,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0
cpp:gnu_asm_input_operand,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:gnu_asm_input_operand_list,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0
cpp:gnu_asm_output_operand,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:gnu_asm_output_operand_list,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0
cpp:gnu_asm_qualifier,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
cpp:goto_statement,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:identifier,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cpp:identifier_parameter_pack_expansion,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:if_statement,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0
cpp:import_declaration,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:init_declarator,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:init_statement,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cpp:initializer_list,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
cpp:initializer_pair,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0
cpp:inline_method_definition,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
cpp:labeled_statement,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:lambda_capture_initializer,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:lambda_capture_specifier,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0
cpp:lambda_declarator,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0
cpp:lambda_default_capture,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
cpp:lambda_expression,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
cpp:lambda_specifier,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
cpp:linkage_specification,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:literal_suffix,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
cpp:macro_type_specifier,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0
cpp:module_declaration,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:module_name,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
cpp:module_partition,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:ms_based_modifier,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:ms_call_modifier,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
cpp:ms_declspec_modifier,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:ms_pointer_modifier,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cpp:ms_restrict_modifier,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cpp:ms_signed_ptr_modifier,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cpp:ms_unaligned_ptr_modifier,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
cpp:ms_unsigned_ptr_modifier,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cpp:namespace_alias_definition,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:namespace_definition,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:nested_namespace_specifier,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0
cpp:new_declarator,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0
cpp:new_expression,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0
cpp:noexcept,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0
cpp:null,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
cpp:number_literal,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1
cpp:offsetof_expression,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0
cpp:operator_cast,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0
cpp:operator_cast_declaration,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0
cpp:operator_cast_definition,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
cpp:operator_name,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0
cpp:optional_parameter_declaration,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:optional_type_parameter_declaration,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:parameter_declaration,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0
cpp:parameter_list,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
cpp:parameter_pack_expansion,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0
cpp:parenthesized_declarator,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0
cpp:parenthesized_expression,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:parenthesized_field_declarator,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0
cpp:parenthesized_type_declarator,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0
cpp:placeholder_type_specifier,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0
cpp:pointer_declarator,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0
cpp:pointer_expression,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0
cpp:pointer_field_declarator,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0
cpp:pointer_type_declarator,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0
cpp:preproc_arg,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
cpp:preproc_argument_list,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
cpp:preproc_binary_expression,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0
cpp:preproc_call,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0
cpp:preproc_call_expression,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
cpp:preproc_def,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0
cpp:preproc_defined,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0
cpp:preproc_directive,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cpp:preproc_elif,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
cpp:preproc_elif_in_block,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
cpp:preproc_elif_in_enumerator_list,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
cpp:preproc_elif_in_enumerator_list_no_comma,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
cpp:preproc_elif_in_field_declaration_list,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
cpp:preproc_elifdef,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0
cpp:preproc_elifdef_in_block,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0
cpp:preproc_elifdef_in_enumerator_list,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
cpp:preproc_elifdef_in_enumerator_list_no_comma,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0
cpp:preproc_elifdef_in_field_declaration_list,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0
cpp:preproc_else,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0
cpp:preproc_else_in_block,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0
cpp:preproc_else_in_enumerator_list,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0
cpp:preproc_else_in_enumerator_list_no_comma,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0
cpp:preproc_else_in_field_declaration_list,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0
cpp:preproc_function_def,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0
cpp:preproc_if,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
cpp:preproc_if_in_block,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
cpp:preproc_if_in_enumerator_list,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
cpp:preproc_if_in_enumerator_list_no_comma,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
cpp:preproc_if_in_field_declaration_list,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
cpp:preproc_ifdef,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0
cpp:preproc_ifdef_in_block,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0
cpp:preproc_ifdef_in_enumerator_list,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
cpp:preproc_ifdef_in_enumerator_list_no_comma,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0
cpp:preproc_ifdef_in_field_declaration_list,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0
cpp:preproc_include,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0
cpp:preproc_params,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0
cpp:preproc_parenthesized_expression,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:preproc_unary_expression,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0
cpp:primitive_type,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
cpp:private_module_fragment_declaration,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
cpp:pure_virtual_clause,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
cpp:qualified_field_identifier,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
cpp:qualified_identifier,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0
cpp:qualified_operator_cast_identifier,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
cpp:qualified_type_identifier,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
cpp:raw_string_literal,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:ref_qualifier,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
cpp:reference_declarator,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0
cpp:reference_field_declarator,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0
cpp:reference_type_declarator,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0
cpp:reflect_expression,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0
cpp:requirement_seq,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
cpp:requires_clause,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:requires_expression,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:requires_parameter_list,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
cpp:return_statement,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:seh_except_clause,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:seh_finally_clause,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:seh_leave_statement,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
cpp:seh_try_statement,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:sized_type_specifier,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0
cpp:sizeof_expression,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0
cpp:splice_expression,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0
cpp:splice_specifier,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:splice_type_specifier,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
cpp:statement,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cpp:static_assert_declaration,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:storage_class_specifier,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
cpp:string_literal,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0
cpp:struct_specifier,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:structured_binding_declarator,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
cpp:subscript_argument_list,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
cpp:subscript_designator,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:subscript_expression,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
cpp:subscript_range_designator,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:switch_statement,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:system_lib_string,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1
cpp:template_argument_list,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1
cpp:template_declaration,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:template_function,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
cpp:template_instantiation,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0
cpp:template_method,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
cpp:template_parameter_list,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1
cpp:template_template_parameter_declaration,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:template_type,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
cpp:this,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cpp:throw_specifier,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
cpp:throw_statement,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:trailing_return_type,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:translation_unit,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
cpp:true,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
cpp:try_statement,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0
cpp:type_definition,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
cpp:type_descriptor,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0
cpp:type_parameter_declaration,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0
cpp:type_parameter_pack_expansion,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:type_qualifier,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
cpp:type_requirement,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:type_specifier,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
cpp:unary_expression,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0
cpp:union_specifier,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:update_expression,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0
cpp:user_defined_literal,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
cpp:using_declaration,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
cpp:variadic_declarator,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:variadic_parameter,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cpp:variadic_parameter_declaration,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
cpp:variadic_reference_declarator,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:variadic_type_parameter_declaration,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0
cpp:virtual_specifier,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
cpp:while_statement,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
csharp:_address_of_expression,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
csharp:_anonymous_object_member_declarator,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
csharp:_array_base_type,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
csharp:_attribute_list,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
csharp:_class_declaration_initializer,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0
csharp:_complex_invocation_expression,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0
csharp:_constructor_declaration_initializer,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0
csharp:_declaration_list_body,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
csharp:_delegate_declaration_initializer,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0
csharp:_enum_declaration_initializer,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0
csharp:_expression_statement_expression,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
csharp:_extension_member_declaration,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
csharp:_for_statement_conditions,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0
csharp:_foreach_statement_initializer,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
csharp:_function_body,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
csharp:_identifier_token,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1
csharp:_implicit_parameter_list_with_modifiers,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0
csharp:_interface_declaration_initializer,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0
csharp:_interpolated_raw_string_content,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
csharp:_interpolated_string_content,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
csharp:_interpolated_verbatim_string_content,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
csharp:_join_body,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
csharp:_join_header,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
csharp:_lambda_expression_init,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0
csharp:_lambda_parameters,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
csharp:_local_function_declaration,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0
csharp:_name,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
csharp:_name_invocation_pattern,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
csharp:_namespace_member_declaration,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
csharp:_nullable_base_type,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
csharp:_object_creation_type,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
csharp:_ordering,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
csharp:_parameter_array,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
csharp:_parameter_type_with_modifiers,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0
csharp:_parenthesized_lvalue_expression,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
csharp:_parenthesized_pattern_with_designation,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
csharp:_pointer_base_type,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
csharp:_pointer_indirection_expression,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
csharp:_preproc_expression,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
csharp:_query_body,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0
csharp:_query_clause,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
csharp:_record_declaration_initializer,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0
csharp:_ref_base_type,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
csharp:_reserved_identifier,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
csharp:_scoped_base_type,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
csharp:_select_or_group_clause,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
csharp:_simple_name,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
csharp:_struct_declaration_initializer,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0
csharp:_switch_expression_body,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
csharp:_top_level_item,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
csharp:_top_level_item_no_statement,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
csharp:_variable_designation,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
csharp:_with_body,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
csharp:accessor_declaration,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0
csharp:accessor_list,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
csharp:alias_qualified_name,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
csharp:and_pattern,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0
csharp:anonymous_method_expression,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0
csharp:anonymous_object_creation_expression,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
csharp:argument,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0
csharp:argument_list,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
csharp:array_creation_expression,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0
csharp:array_rank_specifier,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
csharp:array_type,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
csharp:arrow_expression_clause,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
csharp:as_expression,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0
csharp:assignment_expression,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
csharp:attribute,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
csharp:attribute_argument,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0
csharp:attribute_argument_list,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0
csharp:attribute_list,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
csharp:attribute_target_specifier,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
csharp:await_expression,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
csharp:base_list,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
csharp:binary_expression,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0
csharp:block,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
csharp:boolean_literal,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
csharp:bracketed_argument_list,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
csharp:bracketed_parameter_list,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
csharp:break_statement,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
csharp:calling_convention,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
csharp:cast_expression,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0
csharp:catch_clause,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0
csharp:catch_declaration,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
csharp:catch_filter_clause,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
csharp:character_literal,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
csharp:character_literal_content,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
csharp:checked_expression,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
csharp:checked_statement,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
csharp:class_declaration,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
csharp:collection_element,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
csharp:collection_expression,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
csharp:comment,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1
csharp:compilation_unit,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0
csharp:conditional_access_expression,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0
csharp:conditional_expression,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0
csharp:constant_pattern,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
csharp:constructor_constraint,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
csharp:constructor_declaration,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
csharp:constructor_initializer,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
csharp:continue_statement,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
csharp:conversion_operator_declaration,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0
csharp:declaration,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
csharp:declaration_expression,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
csharp:declaration_list,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
csharp:declaration_pattern,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
csharp:default_expression,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0
csharp:delegate_declaration,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
csharp:destructor_declaration,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0
csharp:discard,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
csharp:do_statement,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
csharp:element_access_expression,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
csharp:empty_statement,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
csharp:enum_declaration,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
csharp:enum_member_declaration,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0
csharp:enum_member_declaration_list,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
csharp:escape_sequence,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
csharp:event_declaration,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0
csharp:event_field_declaration,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
csharp:explicit_interface_specifier,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
csharp:expression,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
csharp:expression_element,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
