table_index,name,kernel,routed,explicit_cpp_handler,fallback
691,La_svd_cmplx,matrix,1,0,explicit_error
692,La_version,matrix,1,0,explicit_error
693,La_library,matrix,1,0,explicit_error
694,bcprofcounts,language,1,0,explicit_error
695,bcprofstart,language,1,0,explicit_error
696,bcprofstop,language,1,0,explicit_error
697,eSoftVersion,system,1,0,explicit_error
698,curlVersion,io,1,0,explicit_error
699,curlGetHeaders,environment,1,0,explicit_error
700,curlDownload,io,1,0,explicit_error
701,compilerVersion,system,1,0,explicit_error
